stop_id,stop_name,stop_lat,stop_lon
ON_DEMAND_MERANO:43,Therme Meran / Terme Merano,46.66829,11.15925
ON_DEMAND_MERANO:44,Matteottistraße / Via Matteotti,46.66496,11.16106
ON_DEMAND_MERANO:45,Maria-Trost-Straße /  Via S. Maria d. Conforto,46.66213,11.16472
ON_DEMAND_MERANO:46,Sibyllastraße / Via Sibilla,46.661969,11.166612
ON_DEMAND_MERANO:47,Hotel Pollinger / Hotel Pollinger,46.661272,11.167701
ON_DEMAND_MERANO:48,St.-Katharina-Str. / Via S. Caterina,46.661291,11.170147
ON_DEMAND_MERANO:49,Mayr-Nusser-Str. A / Via Mayr-Nusser A,46.659745,11.171435
ON_DEMAND_MERANO:50,Mayr-Nusser-Str. B / Via Mayr-Nusser B,46.661533,11.173959
ON_DEMAND_MERANO:51,Waalweg / Vicolo della Roggia,46.661816,11.175149
ON_DEMAND_MERANO:52,Villa Eden/Villa Eden,46.661526,11.177762
ON_DEMAND_MERANO:53,Dantestraße / Via Dante,46.664809,11.176875
ON_DEMAND_MERANO:54,Leichtergasse / Via Leichter,46.66766,11.17644
ON_DEMAND_MERANO:55,Th.-Christomannos-Str. / Via Th. Christomannos,46.667416,11.174393
ON_DEMAND_MERANO:56,Maiser Park / Parco di Maia,46.66584,11.17046
ON_DEMAND_MERANO:57,Schafferstraße / Via Schaffer,46.664546,11.167684
ON_DEMAND_MERANO:58,Karl-v.-Grabmayr-Str. / Via Karl v. Grabmayr,46.664856,11.1661
ON_DEMAND_MERANO:59,Tobias-Brenner-Str. / Via Tobias Brenner,46.66508,11.163277
ON_DEMAND_MERANO:60,Maiastraße / Via Maia,46.667996,11.163211
ON_DEMAND_MERANO:61,Meranarena / Meranarena,46.65977,11.15503
ON_DEMAND_MERANO:62,Bahnhof Untermais / Stazione di Maia Bassa,46.656158,11.148414
ON_DEMAND_MERANO:63,Friedhof Untermais / Cimitero Maia Bassa,46.65778,11.16123
